2022-09-07 14:55:00.181 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.weiho.scaffold.system.service.UserServiceTest], using SpringBootContextLoader
2022-09-07 14:56:36.553 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.weiho.scaffold.system.service.UserServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-09-07 14:56:36.554 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.weiho.scaffold.system.service.UserServiceTest]: UserServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-09-07 14:56:36.752 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.weiho.scaffold.system.AppRun for test class com.weiho.scaffold.system.service.UserServiceTest
2022-09-07 14:56:36.906 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
2022-09-07 14:56:36.939 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@41709512, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@42039326, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@33308786, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4f9a2c08, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@a87f8ec, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5443d039, org.springframework.test.context.transaction.TransactionalTestExecutionListener@63787180, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7d1cfb8b, org.springframework.test.context.event.EventPublishingTestExecutionListener@48e92c5c, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@2e1ef60, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@22356acd, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@386f0da3, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@39655d3e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@34f22f9d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3d1848cc, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7dda48d9, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6e4566f1]
2022-09-07 14:56:37.493 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-09-07 14:56:37.503 [main] INFO  com.weiho.scaffold.system.service.UserServiceTest - Starting UserServiceTest using Java 1.8.0_144 on LAPTOP-SR0899OB with PID 20828 (started by Weiho in E:\Graduation_ChouChou\Scaffold-Weiho\Scaffold\scaffold-system)
2022-09-07 14:56:37.504 [main] DEBUG com.weiho.scaffold.system.service.UserServiceTest - Running with Spring Boot v2.7.0, Spring v5.3.20
2022-09-07 14:56:37.505 [main] INFO  com.weiho.scaffold.system.service.UserServiceTest - No active profile set, falling back to 1 default profile: "default"
2022-09-07 14:56:39.016 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-09-07 14:56:39.020 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-09-07 14:56:39.061 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22 ms. Found 0 Redis repository interfaces.
2022-09-07 14:56:40.835 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 0 (http)
2022-09-07 14:56:40.848 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
2022-09-07 14:56:40.848 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-09-07 14:56:40.849 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-09-07 14:56:41.018 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-09-07 14:56:41.018 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3472 ms
2022-09-07 14:56:41.426 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-09-07 14:56:41.990 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-09-07 14:56:45.099 [main] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '需要token验证' 初始化]
2022-09-07 14:56:45.132 [main] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '不需要token验证' 初始化]
2022-09-07 14:56:46.265 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@682fe17b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@418bdde9, org.springframework.security.web.context.SecurityContextPersistenceFilter@29fc83c5, org.springframework.security.web.header.HeaderWriterFilter@4942e6af, org.springframework.security.web.authentication.logout.LogoutFilter@4edde05c, org.springframework.web.filter.CorsFilter@44dd0d38, com.weiho.scaffold.system.security.token.filter.TokenFilter@13e0f380, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@13b4ee4e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4ba1f425, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@240df292, org.springframework.security.web.session.SessionManagementFilter@3d2b13f, org.springframework.security.web.access.ExceptionTranslationFilter@1be427b4, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4d84688f]
2022-09-07 14:56:46.508 [main] INFO  com.weiho.scaffold.redis.config.RedisConfig - Redis -> [Redis缓存错误处理程序初始化]
2022-09-07 14:56:47.261 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-auto-1"]
2022-09-07 14:56:47.284 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-09-07 14:56:47.284 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-09-07 14:56:47.285 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-09-07 14:56:47.287 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 21002 (http) with context path ''
2022-09-07 14:56:47.683 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [192.168.137.128:5672]
2022-09-07 14:56:47.766 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#111cbcda:0/SimpleConnection@12925d2 [delegate=amqp://admin@192.168.137.128:5672/, localPort= 21005]
2022-09-07 14:56:47.838 [main] INFO  com.weiho.scaffold.system.service.UserServiceTest - Started UserServiceTest in 10.836 seconds (JVM running for 13.132)
2022-09-07 14:56:48.189 [main] DEBUG c.w.scaffold.system.mapper.UserMapper.selectList - ==>  Preparing: SELECT id,avatar_id,username,password,sex,email,phone,enabled,last_pass_reset_time,create_time,update_time,is_del FROM user WHERE is_del=0
2022-09-07 14:56:48.206 [main] DEBUG c.w.scaffold.system.mapper.UserMapper.selectList - ==> Parameters: 
2022-09-07 14:56:48.258 [main] DEBUG c.w.scaffold.system.mapper.UserMapper.selectList - <==      Total: 4
2022-09-07 14:56:48.281 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2022-09-07 14:56:48.830 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2022-09-07 14:56:49.028 [SpringApplicationShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is already stopped
2022-09-07 14:56:49.028 [SpringApplicationShutdownHook] INFO  c.w.s.common.util.spring.SpringContextHolder - SpringContextHolder -> [清除SpringContextHolder中的ApplicationContext:org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6e57e95e, started on Wed Sep 07 14:56:37 GMT+08:00 2022]
2022-09-07 14:56:49.055 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-09-07 14:56:49.063 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
